brand,color,current_price,namex,original_price,stock_status,url
itel,White,4555,ITEL S23 4G - 4GB RAM - 128GB - Mystery White,5400,In stock,https://dream2000.com/en/itel-s23-4g-4gb-ram-128gb-mystery-white.html
Samsung,Yellow,11777,"Samsung Galaxy A25 5G 8GB RAM, 256GB - Yellow",13800,In stock,https://dream2000.com/en/samsung-galaxy-a25-5g-8gb-ram-256gb-yellow.html
Xiaomi,Lavender Purple,13999,"Xiaomi Redmi Note 13 Pro 8GB RAM, 256GB - Lavender Purple",16400,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-pro-8gb-ram-256gb-lavender-purple.html
Xiaomi,Midnight Black,19999,"Xiaomi Redmi Note 13 Pro+ 5G 8GB RAM, 256GB - Midnight Black",23400,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-pro-5g-8gb-ram-256gb-midnight-black.html
Oppo,Wave Green,20555,"OPPO Reno 11 5G 12GB RAM, 256GB - Wave Green",24100,In stock,https://dream2000.com/en/oppo-reno-11-5g-12gb-ram-256gb-wave-green.html
Oppo,Rock Grey,20555,"OPPO Reno 11 5G 12GB RAM, 256GB - Rock Gray",24100,In stock,https://dream2000.com/en/oppo-reno-11-5g-12gb-ram-256gb-rock-gray.html
Realme,Beige,17666,"Realme 12 Pro 5G 12GB RAM, 512GB - Navigator Beige",20700,In stock,https://dream2000.com/en/realme-12-pro-5g-12gb-ram-512gb-navigator-beige.html
Realme,Blue,17666,"Realme 12 Pro 5G 12GB RAM, 512GB - Submarine Blue",20700,In stock,https://dream2000.com/en/realme-12-pro-5g-12gb-ram-512gb-submarine-blue.html
Realme,Black,6777,"Realme C51 6GB RAM, 256GB - Carbon Black",8000,In stock,https://dream2000.com/en/realme-c51-6gb-ram-256gb-carbon-black.html
Realme,Green,6777,"Realme C51 6GB RAM, 256GB - Mint Green",8000,In stock,https://dream2000.com/en/realme-c51-6gb-ram-256gb-mint-green.html
Vivo,Green,11990,"Vivo V30 Lite 8GB RAM, 256GB - Breeze Green",14100,In stock,https://dream2000.com/en/vivo-v30-lite-8gb-ram-256gb-breeze-green.html
Vivo,Black,20990,"Vivo V30 12GB RAM, 256GB - Black",24600,In stock,https://dream2000.com/en/vivo-v30-12gb-ram-256gb-black.html
Realme,Sky Blue,4390,"Realme Note 50 3GB RAM, 64GB - Sky Blue",5200,In stock,https://dream2000.com/en/realme-note-50-3gb-ram-64gb-sky-blue.html
Oppo,Black,5390,"Oppo A18 4GB RAM, 64GB - Glowing Black",6400,In stock,https://dream2000.com/en/oppo-a18-4gb-ram-64gb-glowing-black.html
Oppo,Green,14444,"OPPO Reno 11F 5G 8GB RAM, 256GB - Palm Green",16900,In stock,https://dream2000.com/en/oppo-reno-11f-5g-8gb-ram-256gb-palm-green.html
Oppo,Blue,14444,"OPPO Reno 11F 5G 8GB RAM, 256GB - Ocean Blue",16900,In stock,https://dream2000.com/en/oppo-reno-11f-5g-8gb-ram-256gb-ocean-blue.html
Xiaomi,Green,4999,"Xiaomi Redmi A3 4GB, 128GB - Forest Green",5900,In stock,https://dream2000.com/en/xiaomi-redmi-a3-4gb-128gb-forest-green.html
Realme,Sunny Oasis,7770,"Realme C67 6GB RAM, 128GB - Sunny Oasis",9100,In stock,https://dream2000.com/en/realme-c67-6gb-ram-128gb-sunny-oasis.html
Oppo,Black,9999,"Oppo Reno 8T 8GB Ram, 128GB - Midnight Black",11700,In stock,https://dream2000.com/en/oppo-reno-8t-8gb-ram-128gb-midnight-black.html
